category,domain_name,file_name,file_urls,files,meaning,word
adv.,uchicago_S_Hassan,advapōr.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00040.mp3,,"on other side, cross, to one side",advapōr
n.m.,uchicago_S_Hassan,aḍ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00041.mp3,,"half, mid, semi, often signifying a portion",aḍ
adj.,uchicago_S_Hassan,aḍcʰōv.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00042.mp3,,uncooked,aḍcʰōv
n.pl.,uchicago_S_Hassan,ǝḍijι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00043.mp3,,bones,ǝḍijι
adj.,uchicago_S_Hassan,aḍlʸok.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00044.mp3,,"defective, faulty, imperfect, inadequate, lacking, incomplete",aḍlʸok
n.m.,uchicago_S_Hassan,aḍvāns.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00045.mp3,,advance,aḍvāns
adj.,uchicago_S_Hassan,aḍι brok.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00046.mp3,,half-grinded,aḍι brok
adj.,uchicago_S_Hassan,aḍι buz.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00047.mp3,,half-roasted,aḍι buz
adj.,uchicago_S_Hassan,aḍι cʸōr.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00048.mp3,,"halfwit, stupid, lunatic",aḍι cʸōr
adj.,uchicago_S_Hassan,aḍι dod.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00049.mp3,,half-burnt,aḍι dod
adj.,uchicago_S_Hassan,aḍι ōm.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00050.mp3,,"incomplete, half-done, half-prepared, half-baked, half-dressed",aḍι ōm
adj.,uchicago_S_Hassan,aḍι pop.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00051.mp3,,"unripe, incomplete, immature",aḍι pop
n.m.,uchicago_S_Hassan,aḍḍι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00052.mp3,,"stand, stop, station, (air)port",aḍḍι
n.m.,uchicago_S_Hassan,aḍιkol.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00053.mp3,,"one who stammer, to pause or falters in speaking",aḍιkol
adv.,uchicago_S_Hassan,aḍamzaḍ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00054.mp3,,"not used to best advantage, very little, used regarding the partial return of something deposited",aḍamzaḍ
adj.,uchicago_S_Hassan,aḍιmōr.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00055.mp3,,grievous bodily harm by severe and repeated blows and kicks,aḍιmōr
adj.,uchicago_S_Hassan,aḍιpʰol.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00056.mp3,,"shrink, decrease, undeveloped, do not come into flower",aḍιpʰol
adj.,uchicago_S_Hassan,aḍιʦot.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00057.mp3,,one who has died at very young age,aḍιʦot
adv.,uchicago_S_Hassan,aḍιwot.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00058.mp3,,"midway between two points, half-way",aḍιwot
n.m.,uchicago_S_Hassan,afgān.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00059.mp3,,"name of a country, Afghanistan",afgān
adj.,uchicago_S_Hassan,afgə̄n.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00060.mp3,,one from Afghanistan,afgə̄n
n.m.,uchicago_S_Hassan,aflātōn.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00061.mp3,,"plato- name of a very famous Greek philosopher, boaster",aflātōn
n.f.,uchicago_S_Hassan,afrā-tafrī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00062.mp3,,"hurly-burly, hurry-scurry, confusion, chaos",afrā-tafrī
